Código	Descripción
52959510	PERDIDA POR SINIESTROS
52959511	DEPURACION BODEGAS
52959512	ELEMENTOS DESECHABLES
52959513	ELEMENTOS SALUD OCUPACIONAL
52959518	OPERACION LOGISTICA CADENAS PAC
52959519	OPERACION EXTRAPACK CADENAS
52959520	OPERACION LOGISTICA CADENAS
52959521	IVA MAYOR VALOR DEL GASTO
52959522	N/A CARGUE Y DESCARGUE PRODUCTO COMERC
52959523	GASTOS EN EL EXTERIOR
52959525	COBRO CROSSDOKING
529910	PROVISIÓN DEUDORES
52991002	DEUDORES
53050501	COSTO DE CHEQUERA
53050502	GTOS BANCARIOS DEL EXTERIOR
53051501	COMISIONES
53051502	COMISIONES BANCOS DEL EXTERIOR
53051503	CUOTA DE MANEJO
53052001	INTERESES
53052501	DIFERENCIA DE CAMBIO
53053501	DESCUENTOS COMERCIALES CONDICIONADOS
53059501	AJUSTE AL PESO
53059502	AJUSTE DIFERENCIA XENCO
53059503	OTROS GASTOS BANCARIOS
53100501	VENTA DE INVERSIONES
53101501	MAQUINARIA Y EQUIPO
53101502	EQUIPO DE OFICINA
53101503	EQUIPO PROCESAMIENTO DATOS Y TELECOMUNIC
53101504	FLOTA Y EQUIPO DE TRANSPORTE
53101505	CONSTRUCCIONES Y EDIFICACIONES
53102501	VENTA DE OTROS ACTIVOS
53103001	MAQUINARIA Y EQUIPO
53103002	EQUIPO DE OFICINA
53103003	EQUIPO PROCESAMIENTO DATOS Y TELECOMUNIC
53103004	FLOTA Y EQUIPO DE TRANSPORTE
53103005	CONSTRUCCIONES Y EDIFICACIONES
53103501	RETIRO DE OTROS ACTIVOS
53104001	PERDIDA POR SINIESTRO
53109501	OTROS
53151501	COSTOS Y GASTOS DE EJERCICIOS
53152001	IMPUESTOS ASUMIDOS
53152002	GRAVAMEN AL MOVIMIENTO FINANCIERO
53152003	IMPUESTOS ASUMIDOS IVA 5%
53152004	IMPUESTOS ASUMIDOS IVA 19%
53152005	IMPUESTOS ASUMIDOS IMPO 8%
53152006	IMPUESTOS ASUMIDOS ICUI
53159501	GASTOS DIVERSOS DIRECTOS
53159502	GASTOS DE REPRESENTACION
53159503	GASTOS NO DEDUCIBLES
53159504	GTOS NO DEDUCI SIN SOPORTE LEGALE VTAS
53159505	GTOS NO DEDUCIB SIN SOPORTE LEGALE PDC
53159506	GTOS NO DEDUCIB SIN SOPORTE LEGAL ADMON
53159507	GTOS NO DEDUCIB SIN SOPORTE LEGAL TARJET
53950501	DEMANDAS LABORALES
53951001	DEMANDAS POR INCUMPLIMIENTO DE CONTRATO
53951501	INDEMNIZACIONES
53952001	MULTAS, SANCIONES Y LITIGIOS
53952501	DONACIONES
53952502	DONACIONES DE ACCIONES
53959501	OTROS
53959502	REINTEGRO GASTOS
53959503	SIEMBRA CAFÉ GEISHA
53959504	CASTIGO DE CARTERA
54050502	IMPUESTO DE RENTA Y COMPLEMENTARIOS
59050501	GANANCIAS Y PERDIDAS
61054501	PLATANO
61201301	CAFE
61201302	DERIVADOS
61201303	COSTO DE CONTINGENCIA
61201304	COSTOS DE MUESTRAS DE CALIDAD
61209601	VARIACION O.P
61209602	VARIACION CONTABLE
61209603	DIFERENCIA DE INVENTARIOS
61209604	COSTO DE VENTAS INV. DEFECTUOSO
61209606	PERDIDA POR INVENTARIOS
61209607	COSTO DE VENTAS INV. B
61209608	COSTO DE VENTAS INV. SALIDA
61209609	COSTO DE VENTAS MERCADEO
61359501	TIENDAS DE CAFE- RESTAURANTE
61359502	COSTO SOUVENIRS POSICIONAMIENTO DE MARCA
61359503	COSTO INSUMOS POSICIONAMIENTO DE MARCA
61359505	OTROS INGRESOS POSICIONAMIENTO DE MARCA
61359506	ENVASES Y EMPAQUES
61359701	EXPORTACIONES CAFE
61359702	EXPORTACIONES DE GALLETAS
61359703	EXPORTACIONES DE AREQUIPE
61359704	EXPORTACIONES MERMELADA
61359705	EXPORTACIONES DE MERENGUITOS
61359706	OTROS INGRESOS POSICION DE MARCA EXPORT.
61359707	FLETES Y SEGUROS EXPORTACION
61359708	EXPORTACIONES CAFE VERDE
61359901	VARIACION CONTABLE
71010101	MATERIA PRIMA
71010102	EMPAQUES Y EMBALAJE
71010103	MERCANCIA NO FABRICADA POR LA EMPRESA
71010104	PRODUCTO TERMINADO
71019001	CONSUMO MP
71019090	APLICACION DE COSTOS
71019091	VARIACION EN MERMAS
71019092	VARIACION BARRIDO DE CAFE
71019093	VARIACION SOBREPESO
71019094	VARIACION PRODUCTO NO CONFORME
71019095	VARIACION MATERIAS PRIMAS Y EMPAQUE
71019096	VARIACION MATERIAS PRIMAS CONTABLE
72010601	SUELDOS
72011501	HORAS EXTRAS
72011502	RECARGOS DOMINICALES Y FESTIVOS
72012701	AUXILIO DE TRANSPORTE
72013001	CESANTIAS
72013301	INTERESES SOBRE LAS CESANTIAS
72013601	PRIMA DE SERVICIOS
72013901	VACACIONES
72014501	AUXILIOS
72014502	AUXILIO CALAMIDAD POR LIBERALIDAD EMPRES
72014503	AUXILIO PARA COMPRA DE LENTES
72014504	AUXILIO INCENTIVOS POR ESTUDIOS
72014505	AUXILIO ARREGLO DE DOTACION
72014506	AUXILIO PARA TRASLADO DE CIUDAD
72014507	AUXILIO FUNERARIO
72014508	AUXILIO ALIMENTACION
72014801	BONIFICACIONES
72014802	BONIFICACIONES POR LIBERALIDAD DE LA EMP
72015101	DOTACION Y SUMINISTRO A TRABAJADORES
72016001	INDEMNIZACIONES LABORALES
72016301	CAPACITACION AL PERSONAL
72016601	GASTO DEPORTIVOS Y DE RECREACION
72016801	APORTES A RIESGOS PREFESIONALES
72016901	APORTES A EPS
72017001	APORTES A FONDOS DE PENSIONES
72017201	APORTES A CAJAS DE COMPENSACION
72017501	APORTES AL ICBF
72017801	SENA
72018401	GASTOS MEDICOS Y DROGAS
72990505	APLICACION DE COSTOS MOD
72990510	VARIACION CONTABLE
73010601	SUELDOS
73011501	HORAS EXTRAS
73011502	HORAS EXTRAS MOI
73011503	RECARGO DOMINICAL Y FESTIVOS
73012701	AUXILIO DE TRANSPORTE
73013001	CESANTIAS
73013301	INTERESES SOBRE LAS CESANTIAS
73013601	PRIMA DE SERVICIOS
73013901	VACACIONES
73014501	AUXILIOS
73014502	AUXILIO CALAMIDAD POR LIBERALIDAD EMPRES
73014503	AUXILIO PARA COMPRA DE LENTES
73014504	AUXILIO INCENTIVOS POR ESTUDIOS
73014505	AUXILIO BONO MATERNIDAD / PATERNIDAD
73014506	AUXILIO FUNERARIO
73014507	AUXILIO ALIMENTACION
73014801	BONIFICACIONES
73014802	BONIFICACIONES POR LIBERALIDAD DE LA EMP
73015101	DOTACION Y SUMINISTRO A TRABAJADORES
73016001	INDEMNIZACIONES LABORALES
73016301	CAPACITACION AL PERSONAL
73016601	GASTO DEPORTIVOS Y DE RECREACION
73016801	APORTES A RIESGOS PREFESIONALES
73016901	APORTES A EPS
73017001	APORTES A FONDOS DE PENSIONES
73017201	APORTES A CAJAS DE COMPENSACION
73017501	APORTES AL ICBF
73017801	SENA
73018401	GASTOS MEDICOS Y DROGAS
73101501	HONORARIOS AUDITORIA EXTERNA
73103501	ASESORIA TECNICA
73103502	HONORARIOS PRESTADOS EN EL EXTERIOR
73202501	EQUIPO DE COMUNICACION Y COMUNICACION
73209501	ARRENDAMIENTO MUEBLES OTROS
73251001	AFILIACIONES Y SOSTENIMIENTOS
73300501	MANEJO
73301001	CUMPLIMIENTO
73301601	SEGURO DE ACTIVOS
73302501	INCENDIO
73303501	SUSTRACCION Y HURTO
73308501	SEGURO TRANSPORTE DE EXPORTACIÓN
73350501	ASEO Y VIGILANCIA
73351001	TEMPORALES
73351501	ASISTENCIA TECNICA
73352001	PROCESAMIENTO ELECTRONICPO DE DATOS
73352501	ACUEDUCTO Y ALCANTARILLADO
73353001	ENERGIA
73353002	ENERGIA SOLAR
73353501	TELEFONO
73354001	CORREO, PORTES Y TELEGRAMAS
73355001	TRANSPORTES, FLETES Y ACARREOS
73355501	GAS
73356001	PUBLICIDAD, PROPAGANDA Y PROMOCION
73359001	INTERNET
73359501	SERVICIO DE MEZCLA
73359502	OTROS * SERVICIOS VIRTUALES
73401501	TRAMITES Y LICENCIAS
73402001	ADUANEROS
73451501	MAQUINARIA Y EQUIPO
73451502	REPUESTOS MAQ PLANTA
73451503	REPUESTOS MAQ TIENDAS
73452501	EQUIPO DE COMPUTACION Y COMUNICACION
73500501	INSTALACIONES ELECTRICAS
73501501	REPARACIONES LOCATIVAS
73550501	ALOJAMIENTO Y MANUTENCION
73551501	PASAJES AEREOS
73551502	PASAJES TERRESTRES
73600501	CONSTRUCCIONES Y EDIFICACIONES
73601001	MAQUINARIA Y EQUIPO
73601501	EQUIPO DE OFICINA
73602001	EQUIPO DE COMPUTACION Y COMUNICACION
73603501	FLOTA Y EQUIPO DE TRANSPORTE
73650101	ANALISIS Y MONITOREOS
73650102	SERVICIO DE FLETE
73650103	AMORTIZACION REPUESTOS
73952501	ELEMENTOS DE ASEO Y CAFETERIA
73953001	UTILES, PAPELERIA Y FOTOCOPIAS
73953002	IMPRESOS, LITOGRAFIA Y TIPOGRAFIA
73953501	COMBUSTIBLES Y LUBRICANTES
73954001	ENVASES, EMPAQUES Y CINTAS
73954501	TAXIS Y BUSES
73956001	CASINO Y RESTAURANTE
73956501	PARQUEADERO
73959501	ANALISIS DE LABORATORIO
73959502	CARGUE - DESCARGUE Y TRILLA DE CAFE
73959503	AVERIAS CIF
73959504	COMPRA EQU.MENORES,MUEBLES,ACCES Y UTENS
73959505	OBSEQUIOS Y DEGUSTACIONES
73959506	SERVICIO DE TRILLA
73959507	ELEMENTOS SALUD OCUPACIONAL
73959508	CIF COMPRA CAFE PERGAMINO
73959509	INSUMOS PARA PRUEBAS
73959510	PEAJES
73990505	APLICACION DE COSTOS CIF
73990506	VARIACION COSTO ESTANDAR MP
73990507	VARIACION COSTO ESTANDAR MOD
73990508	VARIACION COSTO ESTANDAR CIF
73990510	VARIACION CONTABLE
73990511	IVA MAYOR VALOR DEL COSTO
81152001	EN CONSIGNACION
86950501	CHEQUES POSTFECHADOS
